feature,split_importance,gain_importance,rank_gain
h1_arterial_ph_min_missing,1,11.103799819946289,340
apache_2_diagnosis_missing,1,6.348820209503174,341
h1_arterial_pco2_min_missing,2,6.114180088043213,342
h1_sodium_min_missing,1,4.141520023345947,343
heart_rate_apache_missing,1,2.752340078353882,344
h1_calcium_min_missing,1,1.6564799547195435,345
h1_sysbp_min_missing,0,0.0,346
h1_albumin_min_missing,0,0.0,347
h1_platelets_min_missing,0,0.0,348
paco2_for_ph_apache_missing,0,0.0,349
pao2_apache_missing,0,0.0,350
d1_hemaglobin_min_missing,0,0.0,351
ph_apache_missing,0,0.0,352
d1_glucose_min_missing,0,0.0,353
readmission_status,0,0.0,354
resprate_apache_missing,0,0.0,355
h1_bun_min_missing,0,0.0,356
d1_diasbp_min_missing,0,0.0,357
d1_heartrate_min_missing,0,0.0,358
d1_heartrate_max_missing,0,0.0,359
hospital_admit_source_infrequent_sklearn,0,0.0,360
h1_hco3_min_missing,0,0.0,361
ethnicity_Native American,0,0.0,362
lymphoma,0,0.0,363
leukemia,0,0.0,364
aids,0,0.0,365
hospital_admit_source_PACU,0,0.0,366
h1_spo2_min_missing,0,0.0,367
h1_sysbp_invasive_max_missing,0,0.0,368
d1_spo2_min_missing,0,0.0,369
h1_hematocrit_min_missing,0,0.0,370
d1_spo2_max_missing,0,0.0,371
d1_resprate_min_missing,0,0.0,372
icu_admit_source_Other ICU,0,0.0,373
d1_resprate_max_missing,0,0.0,374
icu_stay_type_readmit,0,0.0,375
d1_mbp_noninvasive_min_missing,0,0.0,376
d1_mbp_min_missing,0,0.0,377
ethnicity_Asian,0,0.0,378
d1_diasbp_noninvasive_min_missing,0,0.0,379
