feature,mean_abs_shap
apache_2_bodysystem_infrequent_sklearn,0.000358716969257459
apache_3j_bodysystem_Genitourinary,0.0003390182493847831
h1_arterial_po2_max_missing,0.00033853018454246993
h1_diasbp_noninvasive_max_missing,0.0003376068541780816
d1_diasbp_max_missing,0.00033001279406301074
h1_diasbp_noninvasive_min_missing,0.00032282527814379917
paco2_apache_missing,0.000293571122648038
h1_sodium_max_missing,0.00028926867444512596
h1_platelets_max_missing,0.0002858192610975321
h1_calcium_max_missing,0.00027937843761973303
d1_bun_min_missing,0.000278845735315598
h1_mbp_invasive_max_missing,0.0002684437326630871
apache_2_bodysystem_Renal/Genitourinary,0.0002617783695256205
h1_mbp_min_missing,0.0002592199010273436
d1_sodium_min_missing,0.00024570544655945774
h1_hematocrit_max_missing,0.0002445172463753318
h1_diasbp_max_missing,0.00022972343665434385
h1_diasbp_invasive_max_missing,0.00022650956181318233
d1_glucose_max_missing,0.00022260076402224626
sodium_apache_missing,0.00021945958532962337
h1_resprate_min_missing,0.00021939483241957642
h1_bilirubin_max,0.00021389352681283334
h1_potassium_min_missing,0.0002133559775743791
intubated_apache,0.0001994303173835401
ethnicity_Other/Unknown,0.00019183189263330752
h1_pao2fio2ratio_min_missing,0.00019049532230227203
map_apache_missing,0.00018354584287823926
h1_sysbp_noninvasive_min_missing,0.00017937143204161443
h1_bilirubin_max_missing,0.0001706793409144067
h1_albumin_max_missing,0.00016879169399316486
h1_sysbp_max_missing,0.00016219973721122435
h1_glucose_min_missing,0.0001439278487378961
d1_platelets_min_missing,0.00014281503701498759
d1_sysbp_noninvasive_min_missing,0.00013900003169805904
weight_missing,0.0001354945376211655
h1_wbc_max_missing,0.00013377763741690454
h1_creatinine_max_missing,0.00012205527654694352
h1_spo2_max_missing,0.00011315660361625274
h1_diasbp_invasive_min_missing,0.00010931103953095063
h1_bilirubin_min,0.0001047154967106833
icu_type_Cardiac ICU,0.00010165231749641045
h1_arterial_po2_min_missing,9.99275953150667e-05
h1_creatinine_min_missing,9.491610046511059e-05
h1_bun_max_missing,8.63810052650158e-05
h1_hemaglobin_min_missing,8.617149334289017e-05
apache_3j_bodysystem_Musculoskeletal/Skin,8.363419454087009e-05
h1_mbp_invasive_min_missing,8.102548374419488e-05
h1_inr_min_missing,7.993017014562967e-05
apache_3j_bodysystem_infrequent_sklearn,7.422489282400344e-05
hospital_admit_source_Recovery Room,7.409736891164458e-05
h1_wbc_min_missing,7.193472826532895e-05
h1_heartrate_min_missing,5.877316967933958e-05
cirrhosis,5.522411254490373e-05
h1_lactate_min_missing,5.280193759377726e-05
apache_3j_diagnosis_missing,4.82831583686979e-05
hospital_admit_source_Step-Down Unit (SDU),4.4971429952643685e-05
h1_heartrate_max_missing,4.4107775604703865e-05
h1_sysbp_invasive_min_missing,3.9507302401478044e-05
h1_diasbp_min_missing,3.543898663280175e-05
