rank,feature_1,feature_2,mean_abs_interaction,mean_signed_interaction,median_signed_interaction
176,d1_resprate_max,d1_hemaglobin_max,0.00047319187816955403,7.135069654055249e-06,-3.0014517933165e-05
177,d1_bun_max,d1_bun_min,0.000473108389346673,8.732565673198793e-05,0.00010402313460095854
178,gcs_motor_apache,d1_hemaglobin_max,0.0004592076131269282,-2.685646570021848e-05,0.00013603871197577115
179,pre_icu_los_days,d1_lactate_min,0.0004343679162706204,4.34930347449276e-06,-5.462270951128262e-05
180,d1_spo2_min,d1_hemaglobin_max,0.0004165421163167223,3.0046979406881907e-05,2.683266474768427e-06
181,gcs_verbal_apache,d1_wbc_min,0.00038600389084708344,-9.93764951133697e-05,-5.7113638078833836e-05
182,d1_hemaglobin_max,gcs_eyes_apache,0.00038425959955366834,1.7623267184538522e-05,-0.00015212263828935782
183,urineoutput_apache,elective_surgery,0.00032165968873454207,-4.31426034952613e-05,7.261160088042701e-05
184,urineoutput_apache,d1_lactate_min,0.0003077459751534789,-4.1945722317335866e-05,8.114306562198333e-06
185,d1_wbc_min,gcs_eyes_apache,0.0003072248690067555,5.346007832165983e-06,2.5760744891260667e-05
186,d1_sysbp_min,d1_hemaglobin_max,0.00026288333672681407,6.727421953056314e-05,3.882387957427068e-05
187,d1_heartrate_min,elective_surgery,7.982413382704264e-05,3.301078367927383e-06,-1.819976785033935e-05
188,d1_resprate_max,elective_surgery,6.683185066952642e-05,-2.0475133464839217e-05,9.425331394130808e-06
189,elective_surgery,d1_resprate_min,3.520739197132034e-05,-1.0256050188071806e-07,3.5185705469480003e-06
190,ventilated_apache,d1_hemaglobin_max,2.473547284621117e-05,1.0237600261480111e-05,-3.412469373579644e-06
